,Year,Month,Natureza_Investidor,Valor_USD,Share_Size,Transaction_Party,Sector,Subsector,Country,Region,BRI,Tipo_Investimento,log_Valor_USD,post_ERP,Fase_GG,Alvo_Binario,Sector_Num,Region_Num,Tipo_Investimento_Num,Fase_GG_Num,Subsector_Num,valor_roll_mean_2,valor_roll_std_2,valor_roll_mean_3,valor_roll_std_3,policy_cumulative,policy_interaction,Sector_hierarchical,Region_hierarchical,phase_1,phase_2,phase_3,sector_year_int,region_policy_int,Alvo_Binario_Melhor,Alvo_Adaptativo,country_mapped
count,4115.0,4115,4115,4115.0,1124.0,4115,4115,4115,4115,4115,4115,4115,4115.0,4115.0,4115,4115.0,4115.0,4115.0,4115.0,4115.0,4115.0,4115.0,4080.0,4115.0,4080.0,4115.0,4115.0,4115.0,4115.0,4115.0,4115.0,4115.0,4115.0,4115.0,4115.0,4115.0,4115
unique,,12,998,,,1495,35,100,165,12,4,2,,,3,,,,,,,,,,,,,,,,,,,,,,165
top,,December,China Communications Construction,,,,Energy,Missing,USA,East Asia,1,M&A,,,GG_3.0_ERP,,,,,,,,,,,,,,,,,,,,,,USA
freq,,435,308,,,2021,997,1054,309,798,1968,3464,,,2013,,,,,,,,,,,,,,,,,,,,,,309
mean,2016.3020656136086,,,285.83718104495745,62.66014234875445,,,,,,,,5.367597846672234,0.4891859052247874,,0.48699878493317134,20.785905224787363,6.131956257594168,0.8417982989064399,1.2692588092345078,42.88675577156744,285.44216281895507,147.45828038168963,285.25941676792223,167.44853107494714,492.6102065613609,988.2420413122721,5.367597846672234,5.367597846672234,0.21992709599027946,0.2908869987849332,0.4891859052247874,41911.68238153098,2.859052247873633,0.29234507897934386,0.2935601458080194,
std,4.6162806216059655,,,217.9405500412553,34.424387366689366,,,,,,,,0.8272061140642432,0.4999437918777163,,0.4998916836963397,9.63979838018699,3.2375316251508366,0.3649743741339263,0.7979770910639898,28.466439349249313,160.49817560965587,146.4685363751944,135.58500278681308,123.92807111449198,647.057981029996,1009.9762326423306,0.3490589688730792,0.3490589688730792,0.41424735333431106,0.454226696375449,0.4999437918777163,19438.302618724218,3.6783092245654476,0.4548952851632402,0.45544812612592556,
min,2005.0,,,1.0,1.0,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.76522024062396,2.76522024062396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25%,2013.0,,,130.0,33.0,,,,,,,,4.867534450455582,0.0,,0.0,11.0,4.0,1.0,1.0,18.0,165.0,35.35533905932738,190.0,64.2910050732833,0.0,0.0,5.4202313391738635,5.4202313391738635,0.0,0.0,0.0,22231.0,0.0,0.0,0.0,
50%,2016.0,,,210.0,65.0,,,,,,,,5.3471075307174685,0.0,,0.0,21.0,5.0,1.0,1.0,58.0,250.0,91.92388155425118,273.3333333333333,136.5039681962879,0.0,0.0,5.4511294979732625,5.4511294979732625,0.0,0.0,0.0,42336.0,0.0,0.0,0.0,
75%,2020.0,,,380.0,100.0,,,,,,,,5.940171252720432,1.0,,1.0,29.0,9.0,1.0,2.0,58.0,390.0,219.20310216782974,376.6666666666667,251.46238950056383,984.5,2020.0,5.522133915354569,5.522133915354569,0.0,1.0,1.0,58696.0,5.0,1.0,1.0,
max,2024.0,,,1881.0,100.0,,,,,,,,7.53955882930103,1.0,,1.0,34.0,11.0,1.0,2.0,99.0,975.5,1280.5703807288376,776.6666666666666,1049.9382521526366,2013.0,2024.0,5.565262322020468,5.565262322020468,1.0,1.0,1.0,68816.0,11.0,1.0,1.0,
